farm_id,region,product_category,product_name,quantity_sold,unit_price,sale_date,season,customer_type,weather_condition,soil_type
F001,Canterbury,Fertilizer,Urea 46%,2500,1.25,2024-03-15,Autumn,Commercial,Sunny,Clay
F002,Waikato,Seeds,Ryegrass Premium,150,45.50,2024-04-02,Autumn,Residential,Rainy,Loam
F003,Otago,Pesticides,Roundup Ready,75,28.90,2024-05-18,Autumn,Commercial,Cloudy,Sandy
F001,Canterbury,Animal Feed,Barley Feed,5000,0.85,2024-06-03,Winter,Commercial,Rainy,Clay
F004,Northland,Fertilizer,DAP 18-46-0,1200,1.45,2024-07-22,Winter,Commercial,Sunny,Volcanic
F002,Waikato,Tools,Spade Premium,45,89.99,2024-08-10,Winter,Residential,Cloudy,Loam
F005,Bay of Plenty,Seeds,Clover White,200,35.75,2024-09-14,Spring,Commercial,Sunny,Peat
F003,Otago,Fertilizer,Superphosphate,3200,0.95,2024-10-05,Spring,Commercial,Windy,Sandy
F006,Taranaki,Animal Feed,Lucerne Hay,800,2.15,2024-11-18,Spring,Commercial,Rainy,Volcanic
F001,Canterbury,Pesticides,Glyphosate 360,120,22.50,2024-12-02,Summer,Commercial,Sunny,Clay
F007,Hawke's Bay,Seeds,Maize Hybrid,300,78.30,2024-01-15,Summer,Commercial,Hot,Alluvial
F002,Waikato,Fertilizer,NPK 15-15-15,1800,1.35,2024-02-28,Summer,Commercial,Warm,Loam
F008,West Coast,Tools,Pruning Shears,25,45.00,2024-03-08,Autumn,Residential,Rainy,Clay
F004,Northland,Animal Feed,Molasses Block,150,12.95,2024-04-20,Autumn,Commercial,Humid,Volcanic
F005,Bay of Plenty,Pesticides,Copper Sulfate,90,18.75,2024-05-30,Autumn,Commercial,Mild,Peat
F009,Manawatu,Fertilizer,Lime Agricultural,4500,0.45,2024-06-12,Winter,Commercial,Cool,Silt
F003,Otago,Seeds,Oats Premium,250,42.80,2024-07-25,Winter,Commercial,Cold,Sandy
F010,Southland,Animal Feed,Sheep Pellets,2200,1.85,2024-08-17,Winter,Commercial,Frost,Peat
F006,Taranaki,Tools,Irrigation Pipe,180,15.60,2024-09-03,Spring,Commercial,Rainy,Volcanic
F007,Hawke's Bay,Fertilizer,Potash Muriate,950,2.25,2024-10-21,Spring,Commercial,Dry,Alluvial
